Time,Sales Rank,New Price,List Price
"19/08/2024, 15:59:56","1896","159.99","159.99"
"19/08/2024, 20:34:49","1913","159.99","159.99"
"20/08/2024, 02:36:08","2135","159.99","159.99"
"20/08/2024, 06:36:38","1950","159.99","159.99"
"20/08/2024, 10:04:43","2056","159.99","159.99"
"20/08/2024, 14:57:44","2175","159.99","159.99"
"22/08/2024, 05:16:46","2637","159.99","159.99"
"22/08/2024, 09:20:19","2720","159.99","159.99"
"22/08/2024, 13:39:57","2290","159.99","159.99"
"22/08/2024, 22:04:41","2534","159.99","159.99"
"23/08/2024, 02:05:08","2537","159.99","159.99"
"23/08/2024, 06:05:42","2476","159.99","159.99"
"23/08/2024, 10:10:28","2491","159.99","159.99"
"23/08/2024, 18:45:01","2505","159.99","159.99"
"24/08/2024, 06:57:55","2392","159.99","159.99"
"24/08/2024, 11:05:31","2200","159.99","159.99"
"24/08/2024, 15:27:38","2344","159.99","159.99"
"24/08/2024, 19:49:28","2440","159.99","159.99"
"24/08/2024, 23:50:08","2463","159.99","159.99"
"25/08/2024, 03:50:39","2402","159.99","159.99"
"25/08/2024, 07:51:30","2287","159.99","159.99"
"25/08/2024, 12:00:37","2009","159.99","159.99"
"25/08/2024, 16:06:31","2065","159.99","159.99"
"25/08/2024, 20:14:12","2264","159.99","159.99"
"26/08/2024, 00:15:04","2640","159.99","159.99"
"26/08/2024, 04:15:33","2769","159.99","159.99"
"26/08/2024, 08:16:14","2320","159.99","159.99"
"26/08/2024, 12:24:52","2146","159.99","159.99"
"26/08/2024, 16:41:26","2095","159.99","159.99"
"26/08/2024, 21:04:32","2157","159.99","159.99"
"27/08/2024, 01:05:08","2632","159.99","159.99"
"27/08/2024, 09:06:38","2689","159.99","159.99"
"27/08/2024, 13:26:24","2315","159.99","159.99"
"27/08/2024, 17:45:16","2295","159.99","159.99"
"27/08/2024, 22:00:20","2525","159.99","159.99"
"28/08/2024, 02:01:05","2598","159.99","159.99"
"28/08/2024, 06:01:44","2962","159.99","159.99"
"28/08/2024, 14:15:31","3492","159.99","159.99"
"28/08/2024, 18:25:43","3445","159.99","159.99"
"28/08/2024, 22:34:07","3689","159.99","159.99"
"29/08/2024, 02:34:44","3111","159.99","159.99"
"29/08/2024, 06:35:26","2754","159.99","159.99"
"29/08/2024, 10:36:22","2455","159.99","159.99"
"29/08/2024, 14:42:37","2439","159.99","159.99"
"30/08/2024, 03:02:06","2864","159.99","159.99"
"30/08/2024, 07:02:41","2775","159.99","159.99"
"30/08/2024, 19:14:29","3059","159.99","159.99"
"30/08/2024, 23:15:56","2696","159.99","159.99"
"31/08/2024, 03:16:22","2589","159.99","159.99"
"31/08/2024, 07:17:08","2606","159.99","159.99"
"31/08/2024, 11:17:56","2666","159.99","159.99"
"31/08/2024, 15:19:17","2652","159.99","159.99"
"31/08/2024, 19:20:11","2828","159.99","159.99"
"31/08/2024, 23:20:59","3068","159.99","159.99"
"01/09/2024, 03:21:26","2970","159.99","159.99"
"01/09/2024, 07:22:20","2695","159.99","159.99"
"01/09/2024, 11:23:14","2673","159.99","159.99"
"01/09/2024, 15:25:00","2576","159.99","159.99"
"01/09/2024, 19:26:14","2658","159.99","159.99"
"01/09/2024, 23:27:07","2293","159.99","159.99"
"02/09/2024, 03:27:25","2373","159.99","159.99"
"02/09/2024, 07:28:14","2485","159.99","159.99"
"02/09/2024, 11:29:06","2450","159.99","159.99"
"02/09/2024, 19:37:32","2686","159.99","159.99"
"02/09/2024, 23:47:25","2615","159.99","159.99"
"03/09/2024, 03:48:05","2540","159.99","159.99"
"03/09/2024, 07:48:39","2747","159.99","159.99"
"03/09/2024, 11:58:45","2827","159.99","159.99"
"03/09/2024, 16:23:34","2757","159.99","159.99"
"03/09/2024, 20:58:57","2817","159.99","159.99"
"04/09/2024, 01:40:47","2757","159.99","159.99"
"04/09/2024, 05:41:23","2978","159.99","159.99"
"04/09/2024, 09:42:30","2819","159.99","159.99"
"04/09/2024, 13:52:06","2827","159.99","159.99"
"04/09/2024, 18:15:57","2757","159.99","159.99"
"04/09/2024, 22:16:45","3204","159.99","159.99"
"05/09/2024, 02:17:24","3688","159.99","159.99"
"05/09/2024, 06:18:12","3277","159.99","159.99"
"05/09/2024, 10:19:41","4319","159.99","159.99"
"05/09/2024, 19:25:29","3959","159.99","159.99"
"06/09/2024, 03:24:43","3366","159.99","159.99"
"06/09/2024, 07:25:25","3076","159.99","159.99"
"06/09/2024, 11:33:25","2944","159.99","159.99"
"06/09/2024, 15:34:11","3187","159.99","159.99"
"06/09/2024, 19:35:12","3272","159.99","159.99"
"06/09/2024, 23:45:53","3065","159.99","159.99"
"07/09/2024, 04:25:30","3393","159.99","159.99"
"07/09/2024, 08:26:05","3105","159.99","159.99"
"07/09/2024, 12:27:12","2902","159.99","159.99"
"07/09/2024, 16:28:03","2847","159.99","159.99"
"07/09/2024, 20:28:32","3156","159.99","159.99"
"08/09/2024, 00:33:18","3260","159.99","159.99"
"08/09/2024, 04:49:42","2811","159.99","159.99"
"08/09/2024, 08:50:19","2760","159.99","159.99"
"08/09/2024, 12:51:33","2890","159.99","159.99"
"08/09/2024, 16:52:12","3159","159.99","159.99"
"08/09/2024, 20:59:15","3214","159.99","159.99"
"09/09/2024, 01:04:47","3194","159.99","159.99"
"09/09/2024, 05:15:57","3169","159.99","159.99"
"09/09/2024, 09:16:28","2989","159.99","159.99"
"09/09/2024, 13:19:20","2834","159.99","159.99"
"09/09/2024, 17:20:05","2730","159.99","159.99"
"09/09/2024, 21:36:52","2758","159.99","159.99"
"10/09/2024, 01:45:15","3297","159.99","159.99"
"10/09/2024, 06:02:24","3454","159.99","159.99"
"10/09/2024, 10:03:07","3785","159.99","159.99"
"10/09/2024, 14:03:43","3793","159.99","159.99"
"10/09/2024, 18:04:27","3966","159.99","159.99"
"10/09/2024, 22:19:03","3745","159.99","159.99"
"11/09/2024, 02:32:27","4032","159.99","159.99"
"11/09/2024, 06:45:35","3451","159.99","159.99"
"11/09/2024, 10:46:07","3045","159.99","159.99"
"11/09/2024, 16:18:15","3388","159.99","159.99"
"11/09/2024, 20:26:05","3736","159.99","159.99"
"12/09/2024, 00:26:36","3831","159.99","159.99"
"12/09/2024, 04:48:31","4134","159.99","159.99"
"12/09/2024, 09:20:52","3636","159.99","159.99"
"12/09/2024, 13:21:07","4232","159.99","159.99"
"12/09/2024, 17:21:55","4310","159.99","159.99"
"12/09/2024, 21:47:07","4436","159.99","159.99"
"13/09/2024, 01:47:42","4240","159.99","159.99"
"13/09/2024, 06:03:00","4600","159.99","159.99"
"13/09/2024, 10:05:15","4110","159.99","159.99"
"13/09/2024, 14:06:07","4511","159.99","159.99"
"13/09/2024, 18:06:44","4612","159.99","159.99"
"13/09/2024, 22:20:40","4004","159.99","159.99"
"14/09/2024, 02:22:28","3561","159.99","159.99"
"14/09/2024, 06:30:33","3221","159.99","159.99"
"14/09/2024, 10:35:53","3154","159.99","159.99"
"14/09/2024, 14:36:25","3021","159.99","159.99"
"14/09/2024, 18:37:06","3033","159.99","159.99"
"14/09/2024, 22:42:17","2955","159.99","159.99"
"15/09/2024, 02:44:15","2933","159.99","159.99"
"15/09/2024, 06:48:13","3132","159.99","159.99"
"15/09/2024, 10:51:39","3114","159.99","159.99"
"15/09/2024, 14:52:23","2970","159.99","159.99"
"15/09/2024, 18:53:20","3245","159.99","159.99"
"15/09/2024, 22:55:56","4158","159.99","159.99"
"16/09/2024, 02:56:29","3870","159.99","159.99"
"16/09/2024, 06:58:18","3606","159.99","159.99"
"16/09/2024, 10:59:34","3942","159.99","159.99"
"16/09/2024, 15:00:10","3444","159.99","159.99"
"16/09/2024, 19:01:14","3302","159.99","159.99"
"16/09/2024, 23:12:56","3771","159.99","159.99"
"17/09/2024, 03:22:10","4118","159.99","159.99"
"17/09/2024, 07:45:58","4098","159.99","159.99"
"17/09/2024, 11:50:13","3216","159.99","159.99"
"17/09/2024, 15:51:04","3399","159.99","159.99"
"17/09/2024, 19:59:46","3398","159.99","159.99"
"18/09/2024, 00:35:30","3131","159.99","159.99"
"18/09/2024, 05:10:14","3233","159.99","159.99"
"18/09/2024, 09:11:35","3347","159.99","159.99"
"18/09/2024, 13:12:07","3166","159.99","159.99"
"18/09/2024, 17:12:47","3147","159.99","159.99"
"18/09/2024, 21:13:34","3104","159.99","159.99"
"19/09/2024, 01:16:47","3666","159.99","159.99"
"19/09/2024, 05:17:47","3587","159.99","159.99"
"19/09/2024, 09:20:12","3975","159.99","159.99"
"19/09/2024, 13:21:03","4058","159.99","159.99"
"19/09/2024, 17:21:41","3996","159.99","159.99"
"19/09/2024, 21:22:59","4552","159.99","159.99"
"20/09/2024, 01:23:58","3810","159.99","159.99"
"20/09/2024, 05:24:48","4427","159.99","159.99"
"20/09/2024, 09:25:40","4551","159.99","159.99"
"20/09/2024, 13:26:21","4655","159.99","159.99"
"20/09/2024, 17:27:08","4357","159.99","159.99"
"20/09/2024, 21:27:57","3732","159.99","159.99"
"21/09/2024, 01:29:29","4805","159.99","159.99"
"21/09/2024, 05:30:47","3569","159.99","159.99"
"21/09/2024, 09:31:30","3406","159.99","159.99"
"21/09/2024, 13:32:06","3358","159.99","159.99"
"21/09/2024, 17:32:40","3481","159.99","159.99"
"21/09/2024, 21:33:35","3685","159.99","159.99"
"22/09/2024, 05:35:41","3460","159.99","159.99"
"22/09/2024, 09:36:29","4349","159.99","159.99"
"22/09/2024, 13:37:07","3820","159.99","159.99"
"22/09/2024, 17:37:43","3721","159.99","159.99"
"23/09/2024, 01:39:46","4942","159.99","159.99"
"23/09/2024, 05:40:49","4212","159.99","159.99"
"23/09/2024, 09:41:43","3707","159.99","159.99"
"23/09/2024, 13:42:10","3715","159.99","159.99"
"23/09/2024, 17:42:44","3582","159.99","159.99"
"23/09/2024, 21:44:12","4053","159.99","159.99"
"24/09/2024, 01:46:09","3609","159.99","159.99"
"24/09/2024, 05:46:59","3708","159.99","159.99"
"24/09/2024, 09:47:58","4074","159.99","159.99"
"24/09/2024, 13:48:26","4712","159.99","159.99"
"24/09/2024, 17:49:24","4483","159.99","159.99"
"24/09/2024, 21:50:50","4737","159.99","159.99"
"25/09/2024, 01:51:56","4509","159.99","159.99"
"25/09/2024, 05:52:48","4322","159.99","159.99"
"25/09/2024, 09:53:38","4079","159.99","159.99"
"25/09/2024, 13:54:21","4265","159.99","159.99"
"25/09/2024, 17:55:07","4102","159.99","159.99"
"25/09/2024, 21:55:51","4645","159.99","159.99"
"26/09/2024, 01:56:38","5069","159.99","159.99"
"26/09/2024, 10:04:55","5035","159.99","159.99"
"26/09/2024, 18:06:14","4685","159.99","159.99"
"26/09/2024, 22:07:17","3739","159.99","159.99"
"27/09/2024, 02:08:46","4008","159.99","159.99"
"27/09/2024, 06:11:32","4242","159.99","159.99"
"27/09/2024, 10:12:24","4139","159.99","159.99"
"27/09/2024, 14:13:06","4546","159.99","159.99"
"27/09/2024, 18:13:41","4208","159.99","159.99"
"27/09/2024, 22:14:26","4064","159.99","159.99"
"28/09/2024, 02:15:21","3780","159.99","159.99"
"28/09/2024, 06:16:16","3782","159.99","159.99"
"28/09/2024, 10:17:14","3344","159.99","159.99"
"28/09/2024, 14:18:06","3409","159.99","159.99"
